"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station"
000000998341,"","Hörnerkirchen, Bahnhofstraße",,"53.854575000000","9.703922000000",0,000000099834
000000998342,"","Hörnerkirchen, Bahnhofstraße",,"53.854575000000","9.703922000000",0,000000099834
000000998351,"","Brande, Ölfeldstraße",,"53.839594000000","9.721125000000",0,000000099835
000000998352,"","Brande, Ölfeldstraße",,"53.839594000000","9.721125000000",0,000000099835
000000998361,"","Hörnerkirchen, Schule",,"53.849826000000","9.707914000000",0,000000099836
000000998362,"","Hörnerkirchen, Schule",,"53.849826000000","9.707914000000",0,000000099836
000000998371,"","Hörnerkirchen, Kirchenstraße",,"53.855576000000","9.704896000000",0,000000099837
000000998381,"","Osterhorn, Kloster",,"53.865129000000","9.703035000000",0,000000099838
000000998391,"","Bf. Dauenhof",,"53.852277000000","9.678733000000",0,000000099839
000000998401,"","Westerhorn, Dorfstraße",,"53.862219000000","9.684169000000",0,000000099840
000000998411,"","Bullenkuhlen, Schulweg",,"53.768623000000","9.751832000000",0,000000099841
000000998421,"","Bullenkuhlen, Achterstraße",,"53.766603000000","9.748717000000",0,000000099842
000000998431,"","Bullenkuhlen, Seether Weg (Mitte)",,"53.761530000000","9.743820000000",0,000000099843
000000998441,"","Bevern, Steinfurth",,"53.756711000000","9.740005000000",0,000000099844
000000998451,"","Bevern, Am Karpfenteich",,"53.756222000000","9.753535000000",0,000000099845
000000998461,"","Bevern, Am Gehölz",,"53.757003000000","9.760812000000",0,000000099846
000000998471,"","Bevern, Dannesch",,"53.740134000000","9.774087000000",0,000000099847
000000998491,"","Bevern, Barkhörner Weg",,"53.747696000000","9.785594000000",0,000000099849
000000998501,"","Bevern, Tannenweg",,"53.762081000000","9.774581000000",0,000000099850
000000998511,"","Heede, Ziegeleiweg (West)",,"53.770311000000","9.768924000000",0,000000099851
000000998521,"","Groß Offenseth, Rosenstraße",,"53.802650000000","9.744381000000",0,000000099852
000000998522,"","Groß Offenseth, Rosenstraße",,"53.802650000000","9.744381000000",0,000000099852
000000998531,"","Groß Offenseth, Gemeindezentrum",,"53.814071000000","9.734062000000",0,000000099853
000000998532,"","Groß Offenseth, Gemeindezentrum",,"53.814071000000","9.734062000000",0,000000099853
000000998541,"","Groß Offenseth, Hütten",,"53.826088000000","9.730354000000",0,000000099854
000000998542,"","Groß Offenseth, Hütten",,"53.826088000000","9.730370000000",0,000000099854
000000998571,"","Groß Offenseth, Tannenhof",,"53.817686000000","9.730572000000",0,000000099857
